ra,dec,source_type,z_spec,z_phot,mag_g,mag_r,mag_z,reference
40.0268,-11.4252,REX,-99,0.6972,21.3785,20.2123,19.0122,Huang et al. 2021
40.7511,-19.8931,REX,-99,0.7901,21.5448,20.7021,19.4882,Huang et al. 2021
42.0397,-39.9301,DEV,-99,0.6788,20.8217,19.2792,17.7907,Jacobs et al.2019
42.535,0.1379,SER,0.8279,0.8035,22.7321,20.8337,18.894,Huang et al. 2021
43.1732,-14.9921,SER,-99,0.2477,17.9893,16.5387,15.6948,Carrasco et al.2017
43.8215,-16.6815,SER,-99,0.6949,22.9952,21.0339,19.4174,Huang et al. 2021
44.9811,1.1387,DEV,-99,0.8864,22.95,21.3949,19.4207,Huang et al. 2021
45.8553,-22.9291,SER,-99,0.5531,21.6457,19.8499,18.6284,Huang et al. 2021
45.8714,3.7781,SER,-99,0.7009,21.9405,20.1703,18.5108,Huang et al. 2021
45.9681,-50.3978,EXP,-99,0.5432,21.6115,20.542,19.5412,Jacobs et al.2019
46.1573,-58.7799,SER,-99,0.7397,20.8772,20.3567,19.5979,Storfer et al. 2022
46.4172,-29.5712,SER,-99,0.3556,20.1239,18.3895,17.5169,Huang et al. 2021
46.6654,-27.6075,SER,-99,0.3851,19.7468,18.217,17.2568,Huang et al. 2021
47.1385,-17.6676,REX,-99,0.7493,21.2935,20.4933,19.4214,Huang et al. 2021
47.438,-14.6211,SER,-99,0.8178,22.8529,21.3285,19.4635,Huang et al. 2021
47.6908,-35.7984,SER,-99,0.7501,21.235,20.2496,18.9442,Jacobs et al.2019
47.7087,-17.7748,EXP,-99,0.6691,23.0677,21.3197,19.801,Huang et al. 2020
47.9174,-7.518,SER,-99,0.4286,20.4338,19.0556,18.1814,Huang et al. 2021
48.8684,-27.9493,SER,-99,0.4475,19.8768,18.0395,17.0367,Stein et al.2022
49.7786,-27.6615,DEV,-99,0.6966,21.7997,20.5057,19.189,Huang et al. 2021
49.922,-17.5679,DEV,-99,0.761,22.3311,20.7533,19.0635,Jacobs et al.2019
49.9922,-47.9877,SER,-99,0.5236,21.6359,19.9715,18.7467,Storfer et al. 2022
50.1168,-41.9888,SER,-99,0.6417,21.4688,19.7606,18.2564,Jacobs et al.2019
50.3566,-15.501,SER,-99,0.6799,21.6686,19.8744,18.266,Jacobs et al.2019
50.5684,-52.5779,SER,-99,0.4421,20.0039,18.1908,17.2036,Diehl et al. 2017
50.5943,-42.4061,SER,-99,0.6296,21.4241,19.9759,18.7135,Jacobs et al.2019
50.6769,-23.6652,SER,-99,0.6653,21.5389,20.1636,18.8616,Jacobs et al.2019
51.0021,-27.1917,SER,-99,0.7002,21.9654,20.2589,18.7098,Huang et al. 2021
51.245,-11.5876,SER,-99,0.4236,21.3772,19.5575,18.5142,Huang et al. 2021
52.0052,-40.4992,DEV,-99,0.5698,20.9959,19.6003,18.4847,Jacobs et al.2019
52.6284,-21.4532,REX,-99,0.7413,21.6488,20.7546,19.682,Jacobs et al.2019
52.7565,-9.4508,DEV,-99,0.8378,23.4517,21.3966,19.3236,Huang et al. 2021
54.119,-38.2024,SER,-99,0.5437,20.3961,19.1223,18.2104,Jacobs et al.2019
55.0891,-25.5584,SER,-99,0.6326,21.2337,19.4918,18.0287,Huang et al. 2021
55.4365,-31.6484,SER,-99,0.7804,21.7381,20.8436,19.7,Huang et al. 2021
56.6788,-9.2313,SER,-99,0.4325,20.1999,18.3528,17.3046,Huang et al. 2021
57.2074,-10.2962,SER,-99,0.7317,21.9547,20.174,18.4488,Huang et al. 2021
57.3313,-48.9592,SER,-99,0.6507,20.5178,18.9738,17.5453,Diehl et al. 2017
57.5232,-13.1978,SER,-99,0.5294,22.3592,20.8288,19.6156,Huang et al. 2021
57.907,-7.8706,SER,-99,0.6597,21.576,19.8996,18.3478,Huang et al. 2021
57.9594,-22.2418,SER,-99,0.6646,20.9473,19.8393,18.5592,Jacobs et al.2019
58.1777,-19.3799,DEV,-99,0.6232,22.5901,20.9845,19.6313,Huang et al. 2021
58.4427,-17.1109,DEV,-99,0.5256,21.2565,19.8479,18.4451,Jacobs et al.2019
58.5761,-16.1645,SER,-99,0.5887,21.0897,19.2216,17.84,Jacobs et al.2019
60.4915,-48.7503,SER,-99,0.6409,21.2227,19.6351,18.1836,Jacobs et al.2019
60.5238,-22.099,SER,-99,0.457,21.1696,19.3353,18.2787,Jacobs et al.2019
61.5534,-22.9034,DEV,-99,0.8007,22.8958,20.9022,18.988,Huang et al. 2021
61.677,-23.3205,SER,-99,0.5745,21.7207,19.8327,18.4759,Huang et al. 2021
61.8151,-57.2176,SER,-99,0.3663,19.2326,17.5069,16.6095,Jacobs et al.2019
63.3879,-16.8328,SER,-99,0.331,20.9714,19.3566,18.5441,Huang et al. 2021
63.6168,-19.9192,DEV,-99,0.572,21.0017,19.3768,18.1071,Jacobs et al.2019
65.2768,-20.9997,DEV,-99,0.7982,22.6136,21.2045,19.4732,Huang et al. 2021
65.6056,-40.5322,SER,-99,0.3672,19.6484,17.8772,16.9905,Storfer et al. 2022
65.7967,-1.3515,DEV,-99,0.3851,20.343,18.4592,17.4027,Huang et al. 2021
66.1612,-33.2949,SER,-99,0.5542,20.0216,18.1936,16.8844,Jacobs et al.2019
67.3782,-22.7332,SER,-99,0.615,20.7999,20.075,19.2804,Jacobs et al.2019
68.9243,-17.6354,SER,-99,0.6178,21.18,19.5504,18.1408,Jacobs et al.2019
69.4506,-51.6078,SER,-99,0.7662,21.2537,20.1419,18.6833,Jacobs et al.2019
69.611,-27.1239,SER,-99,0.7653,23.5299,21.3656,19.5674,Huang et al. 2021
71.9694,-29.1854,DEV,-99,0.506,20.8095,19.4576,18.3946,Huang et al. 2021
72.2897,-29.3046,SER,-99,0.5489,21.0119,19.1883,17.9522,Jacobs et al.2019
72.9124,-8.0276,DEV,-99,0.7253,21.7283,20.4111,18.9803,Huang et al. 2021
73.1288,-30.5421,DEV,-99,0.7272,22.0336,20.6212,19.1212,Jacobs et al.2019
74.2036,-0.8212,DEV,-99,0.8609,23.5618,21.7162,19.7103,Huang et al. 2021
74.8883,-45.2656,SER,-99,0.312,19.2134,17.714,16.8601,Stein et al.2022
75.3911,-3.2937,DEV,-99,0.7746,22.38,20.9834,19.3566,Huang et al. 2021
76.2697,-46.1993,SER,-99,0.6505,21.2999,19.8487,18.4545,Jacobs et al.2019
76.731,-42.3457,SER,-99,0.3609,19.8808,18.1694,17.3153,Storfer et al. 2022
77.2053,-21.7419,SER,-99,0.6734,21.4735,19.5645,17.9517,Jacobs et al.2019
77.2638,-21.5958,DEV,-99,0.6289,21.742,19.844,18.3217,Huang et al. 2021
77.696,-26.5395,SER,-99,0.6858,21.9768,20.5863,19.1602,Huang et al. 2021
78.3561,-30.8433,SER,-99,0.3814,19.72,17.9521,17.0327,Huang et al. 2021
78.5303,-54.9483,REX,-99,0.9476,22.0422,21.2312,19.6674,Jacobs et al.2019
80.6734,-43.7876,SER,-99,1.0104,21.5723,21.0504,19.9013,Storfer et al. 2022
80.9091,-21.016,SER,-99,0.7605,22.7356,20.7522,18.9131,Huang et al. 2021
81.7547,-18.9674,SER,-99,0.442,20.3764,18.4901,17.4574,Huang et al. 2021
84.5193,-47.5872,SER,-99,0.5817,20.7385,19.5237,18.17,Diehl et al. 2017
85.575,-21.8217,SER,-99,0.5322,20.3517,18.6565,17.4593,Huang et al. 2021
87.4781,-58.9839,SER,-99,0.3503,19.8377,18.1023,17.2174,Stein et al.2022
89.57,-30.9485,SER,-99,0.7081,22.7309,21.0207,19.4055,Huang et al. 2021
89.6071,-44.1077,SER,-99,0.8026,21.2971,20.3965,19.0629,Storfer et al. 2022
89.6411,-28.7418,SER,-99,0.5959,20.6729,19.6444,18.298,Huang et al. 2021
89.9563,-35.6701,DEV,-99,0.8034,22.1152,20.6727,18.9714,Jacobs et al.2019
95.0792,-56.4829,DEV,-99,0.5673,22.1274,20.2464,18.9242,Jacobs et al.2019
96.0659,-47.1617,DEV,-99,0.8034,22.4653,20.661,18.7066,Jacobs et al.2019
96.2505,-45.4358,DEV,-99,0.6508,20.7576,19.3299,17.8709,Diehl et al. 2017
109.9018,27.9032,DEV,-99,0.5297,21.0277,19.182,17.9514,Huang et al. 2021
112.0551,31.6799,DEV,-99,0.6508,21.2413,19.8838,18.5646,Huang et al. 2021
114.0195,21.3041,SER,0.4533,0.4561,20.3414,18.6265,17.5912,Huang et al. 2021
118.4491,20.9528,SER,0.814,0.8311,22.6989,20.2435,18.2657,Huang et al. 2021
118.7654,12.3763,DEV,-99,0.7801,22.0327,20.6302,19.0593,Huang et al. 2021
119.0587,30.235,SER,-99,0.425,20.6969,18.9421,17.942,Huang et al. 2021
129.9505,30.6284,DEV,0.7653,0.7754,22.758,20.9127,19.1034,Huang et al. 2021
131.6362,-1.9047,DEV,-99,0.8208,22.3664,20.6212,18.7451,Huang et al. 2021
133.1155,26.4614,REX,0.184,0.6091,22.0859,20.6241,19.2918,Huang et al. 2021
133.5531,-4.4026,DEV,-99,0.821,22.6988,21.2022,19.3177,Huang et al. 2020
133.6197,10.1374,SER,0.2978,0.3089,18.8675,17.2387,16.3587,Huang et al. 2020
134.8207,6.2549,SER,-99,0.6049,21.5998,20.1461,18.9471,Huang et al. 2021
135.3125,9.9401,DEV,-99,0.8464,23.5171,21.3024,19.3575,Huang et al. 2020
137.9498,28.4536,SER,0.739,0.7449,22.3087,20.5242,18.8066,Huang et al. 2021
140.3573,18.1715,SER,-99,0.6788,20.7164,18.814,17.1945,The Master Lens Database
140.811,18.4954,SER,-99,0.582,20.0468,19.4434,18.4633,Huang et al. 2020
141.0626,5.769,SER,0.6128,0.6426,20.8468,19.1362,17.6337,Huang et al. 2020
143.3887,9.3219,DEV,0.743,0.7488,22.5328,20.6325,18.882,Huang et al. 2020
143.7713,18.2787,DEV,-99,0.9663,23.9772,21.7419,19.6829,Huang et al. 2021
144.0261,12.8391,SER,-99,0.1826,20.7429,19.591,18.8453,Huang et al. 2021
144.1511,8.8633,SER,-99,0.6624,22.0738,20.2547,18.7006,Huang et al. 2020
144.6321,-4.2535,SER,-99,0.5626,20.1635,18.5061,17.2168,Huang et al. 2020
144.7849,0.6228,SER,-99,0.8203,22.0759,20.8576,19.1441,Huang et al. 2021
145.0099,5.4279,EXP,-99,0.7185,21.687,20.5325,19.3059,Huang et al. 2020
145.1485,13.1356,EXP,-99,0.5292,22.5891,20.9518,19.882,Huang et al. 2021
145.9507,0.9906,SER,1.0988,0.4763,20.6568,18.8368,17.756,Huang et al. 2020
146.684,19.4528,SER,0.5989,0.6393,21.7659,20.0613,18.6516,Huang et al. 2021
147.7529,8.4157,SER,-99,0.4241,20.6467,18.8902,17.9578,Huang et al. 2021
147.9185,7.509,DEV,0.3349,0.3167,20.296,18.6542,17.774,Huang et al. 2021
149.4133,5.1589,SER,0.4466,0.4538,20.1181,18.2303,17.1871,The Master Lens Database
152.0763,31.7005,SER,0.5394,0.5618,21.1059,19.2554,17.9502,Huang et al. 2020
152.3889,-5.6017,DEV,-99,0.3162,19.9977,18.486,17.5007,Huang et al. 2021
157.6135,-6.6858,DEV,-99,0.4327,20.4418,18.6306,17.5353,Huang et al. 2021
157.8915,18.5814,SER,0.5486,0.5549,21.0126,19.3728,18.1259,Huang et al. 2021
159.7672,-8.9316,SER,-99,0.3305,19.9692,18.364,17.5054,Huang et al. 2021
160.1716,18.8477,SER,0.3135,0.3217,18.4965,16.9041,16.0252,Huang et al. 2021
161.1159,31.2337,DEV,0.7057,0.689,22.9046,21.0349,19.4477,Huang et al. 2021
161.8653,23.9568,DEV,0.5547,0.5613,20.8473,19.3626,18.2094,Huang et al. 2021
163.7019,27.5697,SER,0.5428,0.5314,20.2377,18.4571,17.2385,Huang et al. 2021
165.4754,-6.0423,SER,-99,0.4472,20.3197,18.7951,17.7714,Huang et al. 2021
168.5731,8.7634,REX,-99,0.6281,21.8254,20.8932,19.7815,Huang et al. 2021
168.7683,16.7607,SER,-99,0.5286,20.9938,19.0827,17.8583,Huang et al. 2021
169.1444,19.0986,DEV,0.6361,0.6891,21.9908,20.6541,19.2502,Huang et al. 2021
169.2414,14.7197,SER,0.7807,0.79,22.4402,20.3593,18.5483,Huang et al. 2021
172.673,11.3081,SER,-99,0.7567,22.33,20.8654,19.2936,Huang et al. 2021
174.282,14.7811,SER,0.7206,0.68,21.6398,19.9145,18.3712,Huang et al. 2021
174.8727,-2.3072,DEV,-99,0.7312,22.7548,20.6972,18.9845,Huang et al. 2021
175.041,22.8792,DEV,0.5951,0.5776,21.0737,19.3477,18.0431,Huang et al. 2021
175.1752,-0.7266,REX,-99,0.7642,21.6864,20.6876,19.4022,Huang et al. 2021
176.2391,30.558,DEV,0.8256,0.8181,22.101,20.8179,19.2288,Huang et al. 2021
177.0183,29.4844,DEV,-99,0.8062,21.3859,20.4313,18.8658,Huang et al. 2021
177.0319,29.0869,SER,0.7031,0.7155,21.8935,19.9356,18.2358,Huang et al. 2021
177.1381,19.5009,SER,0.4455,0.4366,20.4149,18.5225,17.5146,The Master Lens Database
178.0775,8.817,SER,-99,0.3402,20.479,18.89,18.0237,Huang et al. 2021
179.0228,19.1869,SER,0.5454,0.5379,21.138,19.211,17.9611,Huang et al. 2021
182.7337,-2.2276,DEV,-99,0.426,22.3141,20.994,19.9513,Huang et al. 2021
185.0208,26.4909,DEV,-99,0.7207,22.7994,20.6588,18.9705,Huang et al. 2021
189.2482,25.3442,DEV,0.6387,0.6325,21.1716,19.273,17.7676,Huang et al. 2021
190.7929,21.3329,SER,0.348,0.3536,19.8296,18.0866,17.2061,Huang et al. 2021
191.2226,4.221,SER,0.3218,0.3272,19.5923,17.9417,17.0977,Huang et al. 2021
191.316,19.0924,SER,0.4331,0.4451,20.3979,18.5279,17.5234,Huang et al. 2021
194.8376,11.649,SER,-99,0.2927,19.4304,18.1172,17.2816,Huang et al. 2020
198.2028,30.6423,DEV,0.586,0.6083,21.3058,19.8135,18.5695,Huang et al. 2021
200.0505,-8.5058,SER,-99,0.6058,20.7126,19.2214,17.9561,Huang et al. 2021
203.8331,-8.4487,SER,-99,0.5126,21.4947,20.1458,19.1411,Huang et al. 2021
206.0993,-1.6071,SER,0.487,0.4841,21.0972,19.5416,18.427,Huang et al. 2021
208.6688,19.137,DEV,-99,0.7498,23.1583,21.2554,19.5337,Huang et al. 2021
209.702,-4.3961,DEV,-99,0.3362,19.828,18.6199,17.8729,Huang et al. 2021
215.1638,12.9717,DEV,0.5377,0.5502,21.3735,19.5332,18.2953,Huang et al. 2021
215.2654,0.3719,SER,-99,0.6614,21.0664,19.7543,18.4062,Huang et al. 2020
216.828,-6.7541,SER,-99,0.2644,18.3181,16.7898,15.9731,Huang et al. 2020
217.0936,3.3,SER,0.5885,0.6646,21.584,20.1531,18.7697,Huang et al. 2021
217.4784,12.0433,DEV,0.5532,0.5461,22.516,20.5475,19.2073,Huang et al. 2020
218.2479,-7.2268,SER,-99,0.3356,18.4744,16.8093,15.8905,Huang et al. 2021
218.4715,14.0687,DEV,-99,0.631,22.9061,21.2857,19.9597,Huang et al. 2021
219.9855,32.8402,DEV,0.4176,0.4086,19.3694,17.5546,16.5981,Huang et al. 2020
220.3862,-0.8995,SER,-99,0.4542,20.0028,18.0818,16.8005,SuGOHI6
221.4063,4.9046,DEV,0.4218,0.3894,21.0767,19.7195,18.7674,Huang et al. 2021
221.4378,28.0307,SER,0.3198,0.3245,19.6894,18.0565,17.1701,Stein et al.2022
226.9381,5.3823,DEV,0.5945,0.5852,21.3413,19.5295,18.1608,Huang et al. 2021
227.5364,20.6236,SER,-99,0.6906,21.6926,19.7779,18.1336,Huang et al. 2021
228.4624,-3.4634,SER,-99,0.6586,22.0067,20.0644,18.4195,Huang et al. 2021
229.7213,9.2304,DEV,-99,0.7658,22.681,21.0496,19.3327,Huang et al. 2021
230.5321,32.8538,DEV,-99,0.7458,22.0477,20.5435,18.9477,Huang et al. 2021
230.9711,4.9138,DEV,-99,0.6287,22.8632,20.9983,19.5198,Huang et al. 2021
231.8201,12.9511,DEV,-99,0.7616,22.8187,21.3473,19.7683,Huang et al. 2021
234.4783,14.7232,DEV,-99,0.805,22.3945,21.1597,19.5191,Huang et al. 2021
234.8063,11.7178,SER,-99,0.708,22.184,20.4334,18.808,Huang et al. 2021
234.8707,16.8379,SER,0.4095,0.4088,19.7677,17.8628,16.8873,Huang et al. 2021
236.4854,10.0292,DEV,0.6638,0.6463,21.1371,19.4267,17.8936,Huang et al. 2021
238.4959,16.3935,SER,0.451,0.4201,19.5296,17.7745,16.7576,Huang et al. 2021
245.7514,21.6226,SER,-99,0.8324,21.8627,20.2713,18.4451,Huang et al. 2021
247.9945,-1.6681,SER,-99,0.6163,21.3072,19.9922,18.6661,Huang et al. 2021
252.272,2.3993,REX,-99,0.5843,20.4139,19.3583,18.4075,Huang et al. 2021
252.9173,28.0881,DEV,-99,0.6883,22.7063,20.7821,19.1577,Huang et al. 2021
255.6529,28.5791,SER,0.3964,0.3685,20.6279,18.872,17.8858,Huang et al. 2021
257.0428,11.8169,DEV,-99,0.3196,19.7285,18.5844,17.517,Huang et al. 2021
257.4348,31.9046,EXP,-99,0.8379,22.1472,20.9678,19.3695,Huang et al. 2021
259.8396,24.688,DEV,0.5287,0.5001,21.1859,19.4095,18.216,Huang et al. 2021
309.7973,-54.9952,EXP,-99,0.693,23.0579,21.239,19.6476,Diehl et al. 2017
314.066,-42.6492,DEV,-99,0.6963,21.8624,20.7715,19.5806,Storfer et al. 2022
314.7376,4.7259,DEV,-99,0.801,22.0532,20.5779,18.8364,Huang et al. 2021
319.1672,-1.5035,SER,-99,0.2782,19.5019,18.3568,17.5895,Huang et al. 2021
319.4948,-0.7468,REX,-99,0.8619,21.7571,20.9637,19.7012,Jacobs et al.2019
321.5604,9.8332,SER,-99,0.8025,22.601,20.6487,18.7226,Huang et al. 2021
324.034,-52.7162,REX,-99,0.637,21.2095,20.1226,19.1222,Jacobs et al.2019
326.2881,19.8848,SER,-99,0.8754,22.5717,20.9568,19.0075,Huang et al. 2021
327.3138,-0.2143,SER,0.4525,0.4567,20.1387,18.1643,17.0239,Diehl et al. 2017
329.682,2.9584,SER,0.2865,0.2742,18.8418,17.2869,16.4374,Huang et al. 2021
330.5819,-0.9693,SER,0.5825,0.588,22.6176,20.6469,19.2156,SuGOHI1
333.5034,-46.1063,SER,-99,0.5898,22.0332,20.3206,19.0294,Storfer et al. 2022
334.8017,-43.8098,DEV,-99,0.675,21.6431,19.8747,18.2895,Jacobs et al.2019
335.2291,-11.4857,SER,-99,0.5182,21.7054,19.724,18.5043,Huang et al. 2021
338.5454,-46.4729,REX,-99,0.5108,20.4814,19.433,18.4183,Storfer et al. 2022
339.6305,13.3322,SER,0.4129,0.4193,19.2504,17.3216,16.319,The Master Lens Database
339.7125,-43.2918,SER,-99,0.66,21.7515,20.047,18.576,Storfer et al. 2022
339.888,-4.4883,DEV,-99,0.5583,21.3957,19.5361,18.2486,Huang et al. 2021
340.6218,3.2048,DEV,-99,0.8876,22.7614,21.3011,19.4166,Huang et al. 2021
341.2657,-50.2904,SER,-99,0.6384,21.9468,20.5444,19.2904,Jacobs et al.2019
341.2747,0.6718,REX,0.7021,0.6563,21.2405,20.1113,19.0469,Huang et al. 2021
341.8012,-2.0939,SER,-99,0.3383,19.8772,18.2228,17.3379,Huang et al. 2021
343.5127,-40.9303,SER,-99,0.6306,20.736,19.0474,17.6036,Diehl et al. 2017
344.5567,17.1506,DEV,-99,0.799,22.4516,20.4671,18.5625,Huang et al. 2021
346.7668,-13.3744,SER,-99,0.5087,20.863,18.9692,17.7665,Huang et al. 2021
347.1009,28.9983,REX,0.6336,0.6539,22.9675,21.2836,19.789,Huang et al. 2021
348.4771,-1.0801,SER,-99,0.5329,20.7679,18.8088,17.539,Carrasco et al.2017
349.5061,13.3835,SER,0.732,0.7158,21.4881,19.648,17.9535,Huang et al. 2021
349.5492,-11.1012,SER,-99,0.7203,21.9592,20.0862,18.4069,Huang et al. 2020
